"symbol","date","open","high","low","close","close_adjusted","volume","split_coefficient"
"MSFT","2016-05-16","50.8000","51.9600","50.7500","51.8300","49.7013","20032017","1.0000"
"MSFT","2016-05-16","50.8000","51.9600","50.7500","51.8300","49.7013","20032017","1.0000"
"MSFT","2002-01-16","68.8500","69.8400","67.8500","67.8700","22.5902","30977700","1.0000"
"MSFT","2001-09-18","53.4100","55.0000","53.1700","54.3200","18.0802","41591300","1.0000"
"MSFT","2007-10-26","36.0100","36.0300","34.5600","35.0300","27.2232","288121200","1.0000"
"MSFT","2014-06-27","41.6100","42.2900","41.5100","42.2500","38.6773","74640000","1.0000"
"MSFT","2011-11-04","26.3800","26.4000","26.0000","26.2500","22.1877","36549200","1.0000"
"MSFT","2011-12-06","25.8100","25.8700","25.6100","25.6600","21.8513","46175300","1.0000"
"MSFT","2000-05-08","70.9400","71.3700","69.6900","69.8100","23.2360","18093800","1.0000"
"MSFT","2017-05-08","68.9700","69.0500","68.4200","68.9400","67.8482","18446053","1.0000"
"MSFT","2011-10-17","27.1139","27.4200","26.8500","26.9800","22.8048","39453300","1.0000"
"MSFT","2010-03-03","28.5100","28.6100","28.3500","28.4600","23.2359","48442100","1.0000"
"MSFT","2016-03-24","53.8400","54.3300","53.7300","54.2100","51.9835","19949972","1.0000"
"MSFT","2004-02-05","27.0600","27.1700","26.8300","26.9600","18.1047","55527500","1.0000"
"MSFT","2001-05-11","69.9600","70.0000","68.6500","69.4000","23.0995","25564400","1.0000"
"MSFT","2008-07-16","26.0700","27.2900","25.9200","27.2600","21.4143","82060400","1.0000"
"MSFT","2005-03-15","25.1000","25.2400","24.8899","24.9100","18.7213","71469400","1.0000"
"MSFT","2012-08-31","30.6000","30.9600","30.3800","30.8200","26.7703","36590100","1.0000"
"MSFT","2005-06-21","25.0800","25.1900","25.0400","25.1500","18.9610","81084000","1.0000"
"MSFT","2000-04-11","85.1200","86.0600","83.5000","83.8700","27.9158","35980900","1.0000"
"MSFT","2015-07-31","47.2900","47.3700","46.5000","46.7000","43.8807","31201480","1.0000"
"MSFT","2008-12-05","18.9100","19.9800","18.4700","19.8700","15.7757","91996200","1.0000"
"MSFT","2011-09-01","26.4600","26.8600","26.2100","26.2100","22.1539","60510800","1.0000"
